id,x_soma,y_soma,z_soma,x_cm,y_cm,z_cm,degree,presynaptic_degree,postsynaptic_degree,weighted_presynaptic_degree,weighted_postsynaptic_degree,pca_1_x,pca_1_y,pca_1_z,pca_1_evr,linear_span_pca_1,n_mesh_vertices
864691136084519437,550208.0,1148288.0,827320.0,555744.4366267577,1146489.928214786,829727.5625685554,0,0,0,0,0,-0.7605295496465146,0.4113125457380504,-0.5024109810035552,0.5890118719487742,50732.36997748178,168255
864691136088933175,1240896.0,992832.0,883240.0,1231026.971988477,983694.9919288502,862696.2112133866,10,4,6,4,8,0.3746835092930939,-0.7578197425128526,-0.5341549454246081,0.5138242939816062,253435.21752985404,249172
864691136088942135,684160.0,672384.0,901040.0,693727.5357677345,664972.0601896064,897761.623872766,52,22,34,31,73,-0.0497806495175874,-0.9935879238170195,0.1015131744089934,0.4728201434409074,402395.83881617535,294330
864691136088943927,620480.0,664640.0,860240.0,627024.1486325739,665108.2334416059,868067.3612533393,47,13,35,14,66,0.5506866974817689,0.2521722949032288,0.7957093030120116,0.4818626109079142,374515.5100346944,455961
864691136088944695,1146624.0,598976.0,886240.0,1130994.2667022324,592431.9133008525,885082.1940498867,21,5,16,5,25,-0.0053138853021265,-0.949170079768504,-0.3147187987636708,0.5206002776684663,312246.7025242051,508018
864691136088944951,596224.0,898304.0,973400.0,605096.6652084533,833471.0495503154,977645.2200540092,18,3,16,4,17,-0.180172454545172,-0.9832150449189124,-0.0287412955217531,0.7558438877891911,554106.291064483,651553
864691136088945207,843200.0,928704.0,900600.0,875058.2813419172,757515.0850174972,833110.2572900393,93,75,20,96,23,0.20710627247658,-0.8889539656975614,-0.408494600663748,0.9110410902287136,637894.0775544113,693763
864691136088945975,851776.0,959616.0,842320.0,853323.8067142994,893442.1794360024,811508.9624699886,50,29,21,32,27,-0.0917046849540865,-0.982209277579316,-0.1638755192046412,0.7470527916380649,649692.0592120484,511117
864691136088950839,1285120.0,886528.0,732760.0,1276177.12275981,818300.764678067,714855.8032734968,9,8,1,8,1,-0.0009510038356807,-0.9569307776330436,-0.2903146265869549,0.8806783103655906,576000.4748564926,362823
864691136088952119,986560.0,895296.0,770680.0,977620.900576972,827263.2391503477,757184.4646622984,12,3,9,3,11,-0.1017905708544101,-0.9821316184790438,-0.158291388486131,0.8166956354000801,485697.7017447937,321963
864691136088963895,590656.0,1032512.0,909720.0,587478.7867791551,993242.3257410924,894539.5240465857,19,10,9,12,9,-0.0444842685341643,-0.8143045140531314,-0.5787307735429956,0.7724103226304049,303685.8427904423,361602
864691136088967991,480512.0,668800.0,860800.0,490927.605734056,669851.1432226181,869397.866558218,2,0,2,0,2,-0.9988530376357424,-0.0473830604324506,-0.0068887437102502,0.6848918768401586,181786.7980198697,131905
864691136088988215,622528.0,657408.0,966640.0,670854.7185330251,663081.119937316,969289.9820353376,52,27,27,39,37,-0.7009882882886023,-0.6834926258153213,-0.2036007125191186,0.541509563518493,434348.2773790576,582812
864691136089105719,730240.0,880128.0,834080.0,760024.5142122633,901449.431733688,853353.0759632062,27,4,23,4,32,-0.5058178516879459,-0.7283237735239607,-0.4622691659992142,0.5070697418034563,411100.3727902055,353393
864691136089122871,721152.0,766656.0,904000.0,731494.7130324306,781630.3457121205,918744.8618764704,34,8,26,9,35,-0.2155778727117508,-0.937891429246372,-0.271819513176067,0.7591935378258929,717867.1104935998,574722
864691136089142583,727168.0,874560.0,850880.0,720144.6903037883,854603.0316152595,845235.6481234959,27,4,24,4,27,-0.0781627436866524,-0.9908437549807932,-0.1100874139715171,0.7283903340308362,607933.4934021474,553624
864691136089160503,729344.0,924160.0,889640.0,731880.3327905855,925213.0369476952,875805.4154978843,18,8,11,8,11,-0.1648533256881595,-0.4886361064662274,-0.8567719279172719,0.515133272550988,468770.4893756134,389377
864691136089691473,598272.0,621888.0,867760.0,588392.2475127045,608026.040077604,885406.0106765605,29,12,17,12,20,0.0892432208693637,-0.9879033856223454,-0.1268169870513028,0.6575501711543764,374788.9076923125,380511
864691136090900148,544192.0,713536.0,756440.0,547140.8116584354,694138.4920984879,754075.612175766,24,7,19,7,27,0.9859785845091776,-0.1176372546658277,-0.1183541600619328,0.4868336541799185,262368.3841060788,389496
864691136090902708,827776.0,856384.0,724000.0,825056.7168757074,814022.0839887956,714230.466912032,14,6,8,7,8,-0.219756092614184,-0.959513670052236,-0.1761839287274372,0.7963584950494349,439148.9136050893,423114
864691136090906804,813376.0,889088.0,782160.0,807854.7208318296,858116.7584552829,766298.2645787772,24,5,19,5,19,0.2693271421814378,-0.9510528157869346,0.151530300825026,0.6110055990012776,373491.4060832589,468441
864691136090912436,1017664.0,844352.0,687760.0,1009713.2973546592,783483.0868029651,676127.5504681512,5,2,3,2,3,-0.0882358315367342,-0.9704995772243968,-0.2243769342875689,0.8468328358093627,504708.9868106118,343505
864691136090914484,944384.0,692672.0,867080.0,945221.2808328152,655159.2869886085,876169.076639803,86,60,30,71,46,0.2872018460445041,-0.9238641739538392,-0.2529626211779512,0.4792806752390697,397846.8573920947,530004
864691136090915764,725504.0,994112.0,782800.0,712381.5310327304,906286.8898713556,768058.7718153492,18,2,16,2,18,-0.1675134244092223,-0.9531573855896192,-0.2518536299890422,0.87781268124153,658403.9336615534,495145
864691136090918324,1214080.0,625856.0,803480.0,1173281.663053502,627380.4722616012,789371.3832967725,26,18,8,21,9,0.9481240438884824,-0.0067598360740961,-0.3178287306346011,0.5481273612665316,248899.2483624912,243256
864691136090919604,349888.0,832320.0,820680.0,374159.7737722851,841612.6080615573,817899.1758440121,0,0,0,0,0,0.2518563626131512,0.9639411050311536,-0.0859413674698685,0.7453249925428517,224711.05627150275,168761
864691136090924980,463296.0,723648.0,749520.0,465827.2447019968,730764.7079106575,753722.2495289755,46,34,12,38,13,-0.0375254511362423,-0.9235407417535312,-0.3816599780411342,0.6620364060622347,369912.4774243615,593692
864691136090928308,964096.0,836160.0,710680.0,982121.1136697944,796880.7523621704,715663.5358591535,14,0,14,0,16,-0.3769599636299147,-0.8727505268914734,-0.3101736668880646,0.8686706178329094,891935.9567486583,524426
864691136090929076,862016.0,965248.0,939880.0,879052.6100262452,934169.414222248,936060.805238312,43,28,16,32,20,-0.3203124243300426,-0.9125022550845576,-0.2544397478488922,0.6953093309066398,396874.5738673085,643467
864691136090935732,1223232.0,891328.0,782040.0,1219249.1326987431,822798.5993756967,763439.8989172153,9,0,9,0,12,0.016600816506269,-0.955206685987746,-0.2954735181630208,0.8361531309242108,367665.182893076,422881
864691136090942644,351488.0,742208.0,840240.0,359128.64927696984,718310.2248125857,844757.8774533607,4,0,4,0,6,0.5778426968973838,-0.7745015524300188,0.2573813569896795,0.7840378479290374,99434.03696628424,63453
864691136090946484,836928.0,613440.0,776320.0,836508.7353432106,606682.1821640582,784750.901738123,52,4,50,10,71,0.1105566671382445,0.9848739324520536,0.1334187412911372,0.7710743139482926,317625.72892049723,304670
864691136090947252,587904.0,1050496.0,1008000.0,570515.0481212419,977543.6573778244,977637.0982026876,5,0,5,0,5,-0.3435316675473868,-0.8726486282015604,-0.3470884110569616,0.8893098773388102,424604.3276396205,226102
