id,x_cm,y_cm,z_cm
864691135081674743,1281337.8872847655,667679.122249789,786628.9796586952
864691135081674999,1160705.203786208,803615.5658057504,782244.9141193519
864691135081679095,1045270.7016842428,594700.0293459358,838518.0449739444
864691135081679351,1316663.4868143848,895758.440515429,776980.9846639408
864691135081679863,1052090.6391188446,634536.7018913971,791087.5642866527
864691135081680375,1101621.419995865,591258.6641350908,780212.9206595247
864691135081681399,1124123.86347809,636257.8086543791,824817.9590220599
864691135081681911,784049.9612602344,701076.5365474328,838994.6378774791
864691135081682423,954731.6126375772,570238.4897945689,980618.7880461832
864691135081685495,752278.7186219345,721842.7334245675,950710.5008314728
864691135081688055,498549.2758842478,910832.985623857,920092.8267409804
864691135081689079,835686.7950305828,629920.2587141354,915087.931447004
864691135081692919,868909.5308613165,654763.7960515773,898486.5494888845
864691135081694967,667236.4274928235,698315.4333678952,708284.2501989222
864691135081702903,465999.4050083363,927163.0160653724,729873.4814337605
864691135081703927,643423.6476024383,561102.0403678815,991744.4728335652
864691135081704695,796479.7404623403,647034.6048341715,773645.1590949635
864691135081706999,576307.7877409857,896310.059381682,825657.8047640863
864691135081710583,676383.5040455348,642299.889101256,957748.218158445
864691135081713655,688848.8285739779,674347.6646113304,794391.6702464672
864691135081714167,754419.8801501737,896844.5201672027,769813.3368821989
864691135081714935,769039.1133316511,612969.3839554975,737207.4304253265
864691135081716471,636220.7103871363,690729.8325501293,895806.8296745882
864691135081716983,811163.9482514366,740412.5043018698,782182.4719832124
864691135081722615,625831.042801931,871327.162828815,840765.5786089945
864691135081724407,740461.5804131952,671795.9165799932,969201.4429104602
864691135081727991,1049205.061207487,840243.3026510803,785239.1018331082
864691135081728759,880700.0511770062,860029.5858196819,800154.478226693
864691135081730295,941217.5756966624,865023.3562094708,906075.754719665
864691135081734391,936428.143635754,861023.8124783774,870230.3198609275
864691135081738231,951737.5511535772,752169.9417938363,766639.3154665646
864691135081867511,997143.166707154,624890.0075814716,843527.0214938602
864691135081877495,657201.1884241264,752169.1209435207,832904.474333283
864691135081975031,1016572.6352982746,872155.6865198256,892699.6179458954
864691135086686496,1537030.122006542,832885.683966971,920596.2132642393
864691135099837728,749745.4261765608,935257.2833635112,810063.8534173432
864691135099838240,301365.8249072647,637759.6008512304,836151.1054095142
864691135099841312,1040537.5761741216,979252.2548787524,848772.660376851
864691135099844128,730923.3240852967,646623.2002412204,840311.4480546877
864691135099846176,1326663.6991420698,831937.5418843571,722412.7626438616
864691135099848224,1063464.5992570028,615533.9402050343,794988.6218004972
864691135099851040,956436.6125044544,814058.9309655991,772543.9205449772
864691135099853344,1066874.3465154115,615046.1475227895,737650.3890879113
864691135099854112,1140210.0502299755,618396.4264003622,720805.8586063412
864691135099863584,1208180.616543677,760517.84838041,864050.4251061876
864691135099873568,860659.7870163735,615978.3938305356,926148.9533001602
864691135099875360,1234798.3413507664,757421.4942749524,768521.3305126184
864691135099879200,539947.1376982279,876717.5138153207,766165.2383345654
864691135099881248,664071.4992575203,693099.6420357532,949093.9311094208
864691135099881504,986429.1311086564,834905.74772704,760895.2270015008
864691135100022560,706139.7154517667,668133.1721958204,897694.6201047733
864691135100028448,693291.9217152513,690919.058469782,833830.3591744473
864691135103948365,404681.829908514,824235.8828916724,840053.6823969727
864691135103950157,568652.8882397457,913992.73377085,695833.0016329219
864691135103951693,636358.9602863862,979147.9062612406,750561.9842442941
864691135103952717,615616.2900725817,919582.6887993944,815443.565597171
864691135103957837,1065498.8992980225,640906.730709317,833830.4612500032
864691135103960397,711480.2549346912,618376.8255519192,924233.2278847764
864691135103968077,1070627.0873411591,596227.076180914,775414.4982142121
864691135103969357,1027231.1224373918,590455.5467246479,911592.3961453348
864691135103969869,391944.6914789584,912396.1556071012,694678.2394364193
864691135103975245,967666.335356971,965458.3237791891,767811.507746688
864691135103981389,361051.52914316894,699818.4519112144,846632.6677617751
864691135103987277,1061282.9825055648,626157.3153991281,821018.5688186662
864691135103996749,560189.0582337781,984256.8144301485,863062.8276317265
864691135103997005,432500.4244804034,1021846.6371207688,803483.6655674803
864691135104019021,616240.198954562,893547.8124756839,744368.0090490339
864691135104021325,842158.3687147736,853062.0158662676,920734.2660054076
864691135104026957,969191.5196093004,946368.25286458,855409.298504484
864691135104027213,944138.7485500984,643778.3131182478,872053.5599030694
864691135104028493,1007374.8922089684,901931.9344595602,819421.4283632754
864691135104029773,855864.9899036724,911198.035299538,909988.2239438446
864691135104181325,815760.6528745677,689850.2369839913,842924.2070644628
864691135104188749,631719.103371334,701488.835480501,926578.3356554364
864691135104201293,766384.6183172087,834646.6076493654,864861.1093149219
864691135113136281,665021.0036772621,632090.9372180966,888713.0310579658
864691135113138841,445453.0334967714,704764.9690427277,813261.553753771
864691135113141657,645850.0319836857,754227.1979152673,854748.7738867735
864691135113141913,417405.75303027575,788680.2285086738,778669.3724180699
864691135113146009,516875.465040033,767715.559642616,812906.4344794806
